batch size: (1283,)	loss:75.762695
batch size: (1445,)	loss:78.95429
batch size: (194,)	loss:84.20549
batch size: (1389,)	loss:80.004265
batch size: (229,)	loss:83.734276
batch size: (1122,)	loss:84.879875
batch size: (1545,)	loss:84.28246
batch size: (1099,)	loss:85.44202
batch size: (1555,)	loss:81.049324
batch size: (1576,)	loss:81.27648
batch size: (791,)	loss:81.95809
batch size: (1264,)	loss:91.46156
batch size: (1530,)	loss:83.60857
batch size: (1548,)	loss:84.55323
batch size: (1126,)	loss:84.771
batch size: (1539,)	loss:82.16298
batch size: (869,)	loss:85.08474
batch size: (1530,)	loss:84.127625
batch size: (1600,)	loss:82.37719
batch size: (1432,)	loss:82.40852
batch size: (1600,)	loss:81.15982
batch size: (1558,)	loss:84.24717
batch size: (1449,)	loss:86.72804
batch size: (1422,)	loss:85.65939
batch size: (1411,)	loss:84.72819
batch size: (1539,)	loss:81.475586
batch size: (1458,)	loss:83.8733
batch size: (1473,)	loss:85.493065
batch size: (1225,)	loss:82.528465
batch size: (1399,)	loss:86.117714
batch size: (1356,)	loss:83.62054
batch size: (1600,)	loss:82.470314
batch size: (1274,)	loss:79.68474
batch size: (1600,)	loss:79.79032
batch size: (1535,)	loss:80.331505
batch size: (1126,)	loss:82.09168
batch size: (1574,)	loss:80.032936
batch size: (1501,)	loss:81.39214
batch size: (1504,)	loss:79.649025
batch size: (1532,)	loss:80.133835
batch size: (1438,)	loss:83.40211
batch size: (1224,)	loss:81.910965
batch size: (1365,)	loss:78.0649
batch size: (1409,)	loss:78.313156
batch size: (1339,)	loss:80.8721
batch size: (542,)	loss:78.18938
batch size: (1208,)	loss:80.652855
batch size: (1270,)	loss:80.13906
batch size: (1299,)	loss:77.576454
batch size: (1228,)	loss:77.83444
batch size: (1503,)	loss:79.39844
batch size: (1474,)	loss:77.33527
batch size: (1503,)	loss:79.29024
batch size: (1458,)	loss:78.64909
batch size: (311,)	loss:78.155136
batch size: (1576,)	loss:75.37899
batch size: (1473,)	loss:75.85082
batch size: (1580,)	loss:78.51963
batch size: (1337,)	loss:77.06928
batch size: (1411,)	loss:75.12444
batch size: (1585,)	loss:77.15393
batch size: (1507,)	loss:77.24476
batch size: (1591,)	loss:77.639015
batch size: (1539,)	loss:76.397835
batch size: (1518,)	loss:74.37691
batch size: (1433,)	loss:79.08942
batch size: (1600,)	loss:78.03898
