using NODE-APCbatch size: (1186,)	loss:69.49377
batch size: (396,)	loss:73.836815
batch size: (1187,)	loss:79.969055
batch size: (1296,)	loss:79.603195
batch size: (1174,)	loss:76.67967
batch size: (414,)	loss:83.24163
batch size: (825,)	loss:81.72504
batch size: (575,)	loss:81.36697
batch size: (552,)	loss:77.32909
batch size: (172,)	loss:71.39995
batch size: (1449,)	loss:79.32122
batch size: (1342,)	loss:83.437
batch size: (1345,)	loss:79.666084
batch size: (781,)	loss:77.09893
batch size: (1066,)	loss:77.63732
batch size: (1567,)	loss:80.17093
batch size: (1582,)	loss:81.26288
batch size: (462,)	loss:75.81794
batch size: (1307,)	loss:81.55616
batch size: (1230,)	loss:83.552826
batch size: (263,)	loss:76.45221
batch size: (1414,)	loss:79.10334
batch size: (648,)	loss:77.30092
batch size: (1322,)	loss:78.87137
batch size: (1497,)	loss:82.32467
batch size: (1240,)	loss:80.06051
batch size: (271,)	loss:80.26352
batch size: (1387,)	loss:79.505615
batch size: (1466,)	loss:78.728806
batch size: (1513,)	loss:82.730095
batch size: (1499,)	loss:75.40052
batch size: (732,)	loss:79.54343
batch size: (831,)	loss:80.813416
batch size: (973,)	loss:78.15983
batch size: (1471,)	loss:80.142136
batch size: (1173,)	loss:83.02413
batch size: (222,)	loss:81.38019
batch size: (1456,)	loss:78.16638
batch size: (343,)	loss:78.59442
batch size: (1124,)	loss:78.825874
batch size: (1537,)	loss:79.60737
batch size: (1499,)	loss:78.58067
batch size: (269,)	loss:81.877495
batch size: (1024,)	loss:82.28498
batch size: (1541,)	loss:78.229805
batch size: (1580,)	loss:80.40485
batch size: (1378,)	loss:81.11426
batch size: (1086,)	loss:80.05559
batch size: (839,)	loss:78.49055
batch size: (1145,)	loss:81.0136
batch size: (1456,)	loss:77.85662
batch size: (1540,)	loss:76.82605
batch size: (1528,)	loss:78.3603
batch size: (561,)	loss:76.53165
batch size: (1504,)	loss:74.13771
batch size: (351,)	loss:79.29846
batch size: (640,)	loss:74.15737
batch size: (981,)	loss:75.34133
batch size: (735,)	loss:77.80215
batch size: (1143,)	loss:76.05218
batch size: (1253,)	loss:80.43324
batch size: (1412,)	loss:78.89958
batch size: (661,)	loss:81.463806
batch size: (481,)	loss:88.17213
batch size: (1600,)	loss:77.06861
batch size: (1453,)	loss:77.95394
batch size: (355,)	loss:75.43242
batch size: (1437,)	loss:71.87456
batch size: (1301,)	loss:78.67766
batch size: (1555,)	loss:77.48224
batch size: (1566,)	loss:74.79721
batch size: (1587,)	loss:75.96346
batch size: (451,)	loss:81.615486
batch size: (1442,)	loss:80.436676
batch size: (1352,)	loss:73.158676
batch size: (1558,)	loss:79.55949
batch size: (1449,)	loss:77.55607
batch size: (351,)	loss:74.82612
batch size: (1164,)	loss:75.90425
batch size: (1577,)	loss:75.056946
batch size: (1535,)	loss:74.98595
batch size: (1512,)	loss:73.38973
batch size: (1442,)	loss:74.28012
batch size: (607,)	loss:70.43389
batch size: (1335,)	loss:77.19334
batch size: (1467,)	loss:74.1605
batch size: (1452,)	loss:74.12044
batch size: (1600,)	loss:73.67698
batch size: (1600,)	loss:74.98522
batch size: (1536,)	loss:75.731995
batch size: (1382,)	loss:76.3854
batch size: (1477,)	loss:78.47964
batch size: (1293,)	loss:76.946526
batch size: (1520,)	loss:79.862885
batch size: (363,)	loss:75.4365
batch size: (1402,)	loss:77.00034
batch size: (575,)	loss:78.46407
batch size: (797,)	loss:78.95384
batch size: (1575,)	loss:77.44402
batch size: (376,)	loss:76.49589
batch size: (1427,)	loss:77.58672
batch size: (1145,)	loss:81.56601
batch size: (1450,)	loss:77.95098
batch size: (1069,)	loss:76.25932
batch size: (703,)	loss:74.7168
batch size: (1519,)	loss:74.53604
batch size: (1163,)	loss:74.10063
batch size: (650,)	loss:74.19509
batch size: (1479,)	loss:71.09761
batch size: (1343,)	loss:75.026695
batch size: (1496,)	loss:72.7555
batch size: (1376,)	loss:76.68019
batch size: (281,)	loss:71.47134
batch size: (1463,)	loss:70.58729
batch size: (1411,)	loss:73.07443
batch size: (952,)	loss:74.058716
batch size: (1525,)	loss:74.21841
batch size: (827,)	loss:74.97285
batch size: (1141,)	loss:72.39467
batch size: (1136,)	loss:74.43887
batch size: (1127,)	loss:76.05628
batch size: (898,)	loss:73.63156
batch size: (1520,)	loss:71.00384
batch size: (1421,)	loss:70.54596
batch size: (1600,)	loss:70.913895
batch size: (1542,)	loss:71.65181
batch size: (789,)	loss:71.5755
batch size: (1445,)	loss:73.29088
batch size: (1465,)	loss:73.190384
batch size: (1510,)	loss:72.515594
batch size: (1580,)	loss:69.85311
batch size: (373,)	loss:73.82007
batch size: (537,)	loss:69.66693
batch size: (1503,)	loss:73.01467
batch size: (730,)	loss:72.47318
batch size: (1594,)	loss:73.23677
batch size: (236,)	loss:78.78839
batch size: (1508,)	loss:73.84805
batch size: (1467,)	loss:75.7784
batch size: (1338,)	loss:78.42443
batch size: (1532,)	loss:76.25571
batch size: (1518,)	loss:77.66902
batch size: (1350,)	loss:77.11778
batch size: (1512,)	loss:77.855064
batch size: (341,)	loss:84.08746
batch size: (903,)	loss:78.61423
batch size: (1038,)	loss:78.00078
batch size: (1487,)	loss:78.528496
batch size: (1515,)	loss:79.55281
batch size: (1522,)	loss:77.31447
batch size: (500,)	loss:78.00226
batch size: (1600,)	loss:78.29643
batch size: (1305,)	loss:76.69527
batch size: (1528,)	loss:75.35325
batch size: (1496,)	loss:80.603134
batch size: (1557,)	loss:78.69935
batch size: (1485,)	loss:76.3092
batch size: (978,)	loss:75.74813
batch size: (1336,)	loss:75.55234
batch size: (333,)	loss:75.46561
batch size: (1428,)	loss:79.46832
batch size: (1166,)	loss:79.91605
batch size: (1600,)	loss:75.409584
batch size: (1524,)	loss:76.79612
batch size: (1600,)	loss:77.108665
batch size: (1514,)	loss:77.305664
batch size: (1375,)	loss:70.57553
batch size: (1338,)	loss:75.99218
batch size: (1385,)	loss:74.92693
batch size: (1518,)	loss:76.24736
batch size: (1496,)	loss:74.172
batch size: (1327,)	loss:75.24122
batch size: (1374,)	loss:77.413055
batch size: (1223,)	loss:78.80667
batch size: (1563,)	loss:76.887566
batch size: (968,)	loss:73.58126
batch size: (1600,)	loss:75.9429
batch size: (1535,)	loss:74.868195
batch size: (1489,)	loss:75.640854
batch size: (1402,)	loss:76.75956
batch size: (1523,)	loss:75.65329
batch size: (1292,)	loss:72.449104
batch size: (1543,)	loss:76.4657
batch size: (1600,)	loss:80.24483
batch size: (1239,)	loss:80.00217
batch size: (1555,)	loss:77.17429
batch size: (1482,)	loss:78.08326
batch size: (391,)	loss:78.03214
batch size: (523,)	loss:73.91556
batch size: (1600,)	loss:78.03481
batch size: (1600,)	loss:77.59236
batch size: (1515,)	loss:77.134926
batch size: (1541,)	loss:78.20557
batch size: (488,)	loss:80.04499
batch size: (1368,)	loss:75.438095
batch size: (767,)	loss:76.942955
batch size: (1600,)	loss:74.75421
batch size: (1215,)	loss:76.61207
batch size: (610,)	loss:80.13903
batch size: (304,)	loss:76.78444
batch size: (1109,)	loss:79.69441
batch size: (1196,)	loss:75.60872
batch size: (1287,)	loss:75.43817
batch size: (1600,)	loss:75.74502
batch size: (1010,)	loss:75.31422
batch size: (1326,)	loss:80.117195
batch size: (1600,)	loss:74.178635
batch size: (1574,)	loss:74.044815
batch size: (1462,)	loss:73.983635
batch size: (1443,)	loss:76.67716
batch size: (1442,)	loss:76.67089
batch size: (1565,)	loss:75.88707
batch size: (1468,)	loss:77.58678
batch size: (1431,)	loss:76.74088
batch size: (1454,)	loss:73.86203
batch size: (1015,)	loss:75.24085
batch size: (1327,)	loss:77.778046
batch size: (904,)	loss:78.72482
batch size: (1340,)	loss:77.47652
batch size: (1431,)	loss:78.15353
batch size: (1590,)	loss:75.52889
batch size: (1448,)	loss:77.200264
batch size: (1050,)	loss:75.87703
batch size: (1059,)	loss:75.13228
batch size: (1583,)	loss:75.34516
batch size: (1452,)	loss:74.217995
batch size: (1473,)	loss:72.4367
batch size: (1384,)	loss:75.44565
batch size: (1342,)	loss:76.63214
batch size: (1547,)	loss:75.3855
batch size: (1576,)	loss:78.899376
batch size: (1170,)	loss:75.43981
batch size: (1348,)	loss:75.278465
batch size: (1469,)	loss:76.93766
batch size: (1397,)	loss:76.96804
batch size: (1599,)	loss:76.24782
batch size: (1525,)	loss:73.860085
batch size: (1571,)	loss:74.97258
batch size: (1129,)	loss:78.07091
batch size: (1486,)	loss:77.624565
batch size: (1418,)	loss:81.92381
batch size: (1506,)	loss:75.753746
batch size: (1600,)	loss:75.623375
batch size: (1495,)	loss:74.7865
batch size: (1362,)	loss:74.26635
